PMT 44844 46074 database20040723.dat
PMT 46075 999999999 database20040923b.dat
NCD 41512 41730 NCDTubeMap20040212.dat
NCD 41731 44882 NCDTubeMap20040225.dat
NCD 44883 47805 NCDTubeMap20040726.dat
NCD 47806 51545 NCDTubeMap20041112.dat
NCD 51546 999999999 NCDTubeMap20050310.dat
